"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"331","ASISTEN PROFESIONAL KEUANGAN DAN MATEMATIKA","594","17"
"3311","DEALER DAN PIALANG SEKURITAS DAN KEUANGAN","595","17"
"3312","PETUGAS KREDIT DAN PINJAMAN","597","17"
"3313","ASISTEN PROFESIONAL AKUNTANSI","598","17"
"3314","ASISTEN PROFESIONAL STATISTIKA, MATEMATIKA, DAN YBDI","599","17"
"3315","JURU TAKSIR NILAI DAN KERUGIAN","601","17"
"332","AGEN DAN PERANTARA PENJUALAN DAN PEMBELIAN","603","17"
"3321","PERWAKILAN ASURANSI","603","17"
"3322","PERWAKILAN PENJUALAN KOMERSIAL","604","17"
"3323","JURU PEMBELIAN","607","17"
"3324","PIALANG PERDAGANGAN","609","17"
"333","AGEN JASA BISNIS","611","17"
"3331","AGEN KLIRING DAN PENGIRIMAN","611","17"
"3332","PERENCANA KONFERENSI DAN ACARA","613","17"
"3333","AGEN DAN KONTRAKTOR TENAGA KERJA","614","17"
"3334","AGEN REAL ESTAT DAN MANAJER PROPERTI","616","17"
"3339","AGEN JASA BISNIS YTDL","618","17"
"334","SEKRETARIS ADMINISTRASI DAN KHUSUS","620","17"
"3341","SUPERVISOR KANTOR","621","17"
"3342","SEKRETARIS HUKUM","623","18"
"3343","SEKRETARIS ADMINISTRASI DAN EKSEKUTIF","625","18"
"3344","SEKRETARIS MEDIS","628","18"
"335","PROFESIONAL PEMERINTAHAN","630","18"
"3351","PENGAWAS BEA CUKAI DAN PERBATASAN","631","18"
"3352","PETUGAS PAJAK DAN RETRIBUSI PEMERINTAH","634","18"
"3353","PEGAWAI PEMERINTAH BIDANG JAMINAN SOSIAL","635","18"
"3354","PEGAWAI PEMERINTAH BIDANG PERIZINAN","636","18"
"3359","PROFESIONAL PEMERINTAHAN YTDL","637","18"
"34","ASISTEN PROFESIONAL HUKUM, SOSIAL, BUDAYA, DAN YBDI","640","18"
"341","ASISTEN PROFESIONAL HUKUM, SOSIAL, DAN KEAGAMAAN","640","18"
"3411","ASISTEN PROFESIONAL HUKUM DAN YBDI","641","18"
"3412","ASISTEN PROFESIONAL PEKERJAAN SOSIAL","644","18"
"3413","ASISTEN PROFESIONAL KEAGAMAAN","646","18"
"342","PEKERJA OLAHRAGA DAN KEBUGARAN","649","18"
"3421","ATLET DAN OLAHRAGAWAN","649","18"
"3422","PELATIH, INSTRUKTUR, DAN KRU OLAHRAGA","650","18"
"3423","INSTRUKTUR DAN PELATIH PROGRAM KEBUGARAN DAN REKREASI","653","18"
"343","ASISTEN PROFESIONAL KESENIAN, BUDAYA, DAN KULINER","655","18"
"3431","FOTOGRAFER","656","18"
"3432","DESAINER DAN DEKORATOR INTERIOR","658","18"
"3433","TEKNISI GALERI, MUSEUM, DAN PERPUSTAKAAN","660","18"
"3434","CHEF","662","18"
"3435","ASISTEN PROFESIONAL KESENIAN DAN BUDAYA LAINNYA","663","18"
"35","TEKNISI INFORMASI DAN KOMUNIKASI","670","18"
"351","TEKNISI OPERASI TEKNOLOGI INFORMASI DAN KOMUNIKASI DAN PENDUKUNG PENGGUNA","670","18"
"3511","TEKNISI OPERASI TEKNOLOGI INFORMASI DAN KOMUNIKASI","671","18"
"3512","TEKNISI PENDUKUNG PENGGUNAAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","673","18"
"3513","TEKNISI JARINGAN DAN SISTEM KOMPUTER","674","18"
"3514","TEKNISI WEB","675","18"
"352","TEKNISI TELEKOMUNIKASI DAN PENYIARAN","677","18"
"3521","TEKNISI PENYIARAN DAN AUDIO-VISUAL","677","18"
"3522","TEKNISI REKAYASA TELEKOMUNIKASI","680","18"
"4","TENAGA TATA USAHA","685","18"
"41","TENAGA TATA USAHA PERKANTORAN UMUM","685","18"
"411","TENAGA PERKANTORAN UMUM","685","18"
"4110","TENAGA PERKANTORAN UMUM","686","18"
"412","SEKRETARIS","686","18"
"4120","SEKRETARIS","687","18"
"413","JURU KETIK","688","18"
"4131","JURU KETIK DAN OPERATOR MESIN PENGOLAH KATA","688","18"
"4132","PETUGAS ENTRI DATA","690","19"
"42","TENAGA TATA USAHA PELAYANAN PELANGGAN","691","19"
"421","TELLER, KOLEKTOR UANG, DAN YBDI","691","19"
"4211","TELLER BANK DAN YBDI","692","19"
"4212","JURU GADAI DAN PEMBERI PINJAMAN UANG","693","19"
"4213","PENAGIH HUTANG DAN YBDI","694","19"
"4219","TELLER, KOLEKTOR UANG, DAN YBDI LAINNYA","695","19"
"422","TENAGA TATA USAHA INFORMASI PELANGGAN","696","19"
"4221","TENAGA TATA USAHA PERJALANAN DAN KONSULTAN PERJALANAN","696","19"
"4222","TENAGA TATA USAHA INFORMASI PUSAT KONTAK","698","19"
"4223","OPERATOR TELEPON","699","19"
"4224","RESEPSIONIS HOTEL","700","19"
