"halaman_pdf","alasan","teks"
"288","margin_kepala_kaki","256  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"288","teks_miring_watermark","https://www.bps.go.id"
"289","margin_kepala_kaki","Profesional  |  257"
"289","teks_miring_watermark","https://www.bps.go.id"
"290","margin_kepala_kaki","258  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"290","teks_miring_watermark","https://www.bps.go.id"
"291","margin_kepala_kaki","Profesional  |  259"
"291","teks_miring_watermark","https://www.bps.go.id"
"292","margin_kepala_kaki","260  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"292","teks_miring_watermark","https://www.bps.go.id"
"293","margin_kepala_kaki","Profesional  |  261"
"293","teks_miring_watermark","https://www.bps.go.id"
"294","margin_kepala_kaki","262  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"294","teks_miring_watermark","https://www.bps.go.id"
"295","margin_kepala_kaki","Profesional  |  263"
"295","teks_miring_watermark","https://www.bps.go.id"
"296","margin_kepala_kaki","264  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"296","teks_miring_watermark","https://www.bps.go.id"
"297","margin_kepala_kaki","Profesional  |  265"
"297","teks_miring_watermark","https://www.bps.go.id"
"298","margin_kepala_kaki","266  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"298","teks_miring_watermark","https://www.bps.go.id"
"299","margin_kepala_kaki","Profesional  |  267"
"299","teks_miring_watermark","https://www.bps.go.id"
"300","margin_kepala_kaki","268  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"300","teks_miring_watermark","https://www.bps.go.id"
"301","margin_kepala_kaki","Profesional  |  269"
"301","teks_miring_watermark","https://www.bps.go.id"
"302","margin_kepala_kaki","270  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"302","teks_miring_watermark","https://www.bps.go.id"
"303","margin_kepala_kaki","Profesional  |  271"
"303","teks_miring_watermark","https://www.bps.go.id"
"304","margin_kepala_kaki","272  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"304","teks_miring_watermark","https://www.bps.go.id"
"305","margin_kepala_kaki","Profesional  |  273"
"305","teks_miring_watermark","https://www.bps.go.id"
"306","margin_kepala_kaki","274  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"306","teks_miring_watermark","https://www.bps.go.id"
"307","margin_kepala_kaki","Profesional  |  275"
"307","teks_miring_watermark","https://www.bps.go.id"
"308","margin_kepala_kaki","276  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"308","teks_miring_watermark","https://www.bps.go.id"
"309","margin_kepala_kaki","Profesional  |  277"
"309","teks_miring_watermark","https://www.bps.go.id"
"310","margin_kepala_kaki","278  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"310","teks_miring_watermark","https://www.bps.go.id"
"311","margin_kepala_kaki","Profesional  |  279"
"311","teks_miring_watermark","https://www.bps.go.id"
"312","margin_kepala_kaki","280  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"312","teks_miring_watermark","https://www.bps.go.id"
"313","margin_kepala_kaki","Profesional  |  281"
"313","teks_miring_watermark","https://www.bps.go.id"
