"kode","ada_daftar_isi","ada_uraian","nama_daftar_isi","nama_uraian","nama_cocok","halaman_cetak_daftar_isi","halaman_cetak_uraian","halaman_cocok"
"2163","True","True","DESAINER PRODUK DAN PAKAIAN JADI","DESAINER PRODUK DAN PAKAIAN JADI","True","299","299","True"
"2164","True","True","PERENCANA TATA KOTA DAN LALU LINTAS","PERENCANA TATA KOTA DAN LALU LINTAS","True","302","302","True"
"2165","True","True","AHLI PEMETAAN DAN SURVEYOR","AHLI PEMETAAN DAN SURVEYOR","True","304","304","True"
"2166","True","True","DESAINER GRAFIS DAN MULTIMEDIA","DESAINER GRAFIS DAN MULTIMEDIA","True","308","308","True"
"22","True","True","PROFESIONAL KESEHATAN","PROFESIONAL KESEHATAN","True","311","311","True"
"221","True","True","DOKTER MEDIS","DOKTER MEDIS","True","312","312","True"
"2211","True","True","PRAKTISI DOKTER UMUM","PRAKTISI DOKTER UMUM","True","313","313","True"
"2212","True","True","PRAKTISI DOKTER SPESIALIS","PRAKTISI DOKTER SPESIALIS","True","315","315","True"
"222","True","True","PROFESIONAL KEPERAWATAN DAN KEBIDANAN","PROFESIONAL KEPERAWATAN DAN KEBIDANAN","True","323","323","True"
"2221","True","True","PROFESIONAL KEPERAWATAN","PROFESIONAL KEPERAWATAN","True","324","324","True"
"2222","True","True","PROFESIONAL KEBIDANAN","PROFESIONAL KEBIDANAN","True","328","328","True"
"223","True","True","PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","True","330","330","True"
"2230","True","True","PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","True","330","330","True"
"224","True","True","PRAKTISI PARAMEDIS","PRAKTISI PARAMEDIS","True","334","334","True"
"2240","True","True","PRAKTISI PARAMEDIS","PRAKTISI PARAMEDIS","True","334","334","True"
"225","True","True","DOKTER HEWAN","DOKTER HEWAN","True","336","336","True"
"2250","True","True","DOKTER HEWAN","DOKTER HEWAN","True","337","337","True"
"226","True","True","PROFESIONAL KESEHATAN LAINNYA","PROFESIONAL KESEHATAN LAINNYA","True","339","339","True"
"2261","True","True","DOKTER GIGI","DOKTER GIGI","True","340","340","True"
"2262","True","True","APOTEKER","APOTEKER","True","344","344","True"
"2263","True","True","AHLI KESEHATAN DAN KEBERSIHAN LINGKUNGAN KERJA","AHLI KESEHATAN DAN KEBERSIHAN LINGKUNGAN KERJA","True","345","345","True"
"2264","True","True","AHLI FISIOTERAPI","AHLI FISIOTERAPI","True","349","349","True"
"2265","True","True","AHLI DIET DAN GIZI","AHLI DIET DAN GIZI","True","351","351","True"
"2266","True","True","AHLI TERAPI PENDENGARAN DAN TERAPI BICARA","AHLI TERAPI PENDENGARAN DAN TERAPI BICARA","True","353","353","True"
"2267","True","True","AHLI OPTOMETRIK DAN OPTIK OFTALMIK","AHLI OPTOMETRIK DAN OPTIK OFTALMIK","True","355","355","True"
"2269","True","True","AHLI KESEHATAN YTDL","AHLI KESEHATAN YTDL","True","356","356","True"
"23","True","True","PROFESIONAL PENDIDIKAN","PROFESIONAL PENDIDIKAN","True","357","357","True"
"231","True","True","DOSEN UNIVERSITAS DAN PENDIDIKAN TINGGI","DOSEN UNIVERSITAS DAN PENDIDIKAN TINGGI","True","358","358","True"
