"kode","terpindai_kolom_kode","terbaca_sebagai_judul","halaman_pdf","jumlah_kemunculan"
"0112.36","True","True","124","1"
"0112.37","True","True","124","1"
"0112.38","True","True","124","1"
"0112.99","True","True","125","1"
"0113.01","True","True","125","1"
"0113.02","True","True","125","1"
"0113.03","True","True","126","1"
"0113.04","True","True","126","1"
"0113.05","True","True","126","1"
"0113.06","True","True","126","1"
"0113.07","True","True","127","1"
"0113.08","True","True","127","1"
"0113.09","True","True","127","1"
"0113.10","True","True","127","1"
"0113.11","True","True","127","1"
"0113.12","True","True","128","1"
"0113.13","True","True","128","1"
"0113.14","True","True","128","1"
"0113.15","True","True","128","1"
"0113.16","True","True","129","1"
"0113.17","True","True","129","1"
"0113.18","True","True","129","1"
"0113.19","True","True","129","1"
"0113.20","True","True","129","1"
"0113.21","True","True","130","1"
"0113.22","True","True","130","1"
"0113.23","True","True","130","1"
"0113.24","True","True","130","1"
"0113.25","True","True","131","1"
"0113.26","True","True","131","1"
"0113.27","True","True","131","1"
"0113.28","True","True","131","1"
"0113.29","True","True","132","1"
"0113.30","True","True","132","1"
"0113.31","True","True","132","1"
"0113.32","True","True","132","1"
"0113.33","True","True","132","1"
"0113.34","True","True","133","1"
"0113.35","True","True","133","1"
"0113.99","True","True","133","1"
"0114.01","True","True","134","1"
"0114.02","True","True","134","1"
"0114.03","True","True","134","1"
"0114.04","True","True","134","1"
"0114.05","True","True","135","1"
"0114.06","True","True","135","1"
"0114.07","True","True","135","1"
"0114.08","True","True","135","1"
"0114.09","True","True","136","1"
"0114.10","True","True","136","1"
"0114.11","True","True","136","1"
"0114.12","True","True","136","1"
"0114.13","True","True","137","1"
"0114.14","True","True","137","1"
"0114.15","True","True","137","1"
"0114.16","True","True","137","1"
"0114.17","True","True","138","1"
"0114.18","True","True","138","1"
"0114.19","True","True","138","1"
"0114.20","True","True","138","1"
"0114.21","True","True","139","1"
"0114.22","True","True","139","1"
"0114.23","True","True","139","1"
"0114.24","True","True","139","1"
"0114.25","True","True","139","1"
"0114.26","True","True","140","1"
"0114.27","True","True","140","1"
"0114.28","True","True","140","1"
"0114.29","True","True","140","1"
"0114.30","True","True","141","1"
"0114.31","True","True","141","1"
"0114.32","True","True","141","1"
"0114.33","True","True","141","1"
"0114.34","True","True","142","1"
"0114.35","True","True","142","1"
"0114.36","True","True","142","1"
"0114.99","True","True","142","1"
"0115.01","True","True","143","1"
"0115.02","True","True","143","1"
"0115.03","True","True","143","1"
"0115.04","True","True","144","1"
"0115.05","True","True","144","1"
"0115.06","True","True","144","1"
"0115.07","True","True","144","1"
"0115.08","True","True","144","1"
"0115.09","True","True","145","1"
"0115.10","True","True","145","1"
"0115.11","True","True","145","1"
"0115.12","True","True","145","1"
"0115.13","True","True","145","1"
"0115.14","True","True","145","1"
"0115.15","True","True","146","1"
"0115.16","True","True","146","1"
"0115.17","True","True","146","1"
"0115.18","True","True","146","1"
"0115.19","True","True","147","1"
"0115.20","True","True","147","1"
"0115.21","True","True","147","1"
"0115.22","True","True","147","1"
"0115.23","True","True","147","1"
"0115.24","True","True","148","1"
"0115.25","True","True","148","1"
"0115.26","True","True","148","1"
"0115.27","True","True","148","1"
"0115.28","True","True","149","1"
"0115.29","True","True","149","1"
"0115.30","True","True","149","1"
"0115.31","True","True","149","1"
"0115.32","True","True","149","1"
"0115.33","True","True","150","1"
"0115.34","True","True","150","1"
"0115.35","True","True","150","1"
"0115.99","True","True","150","1"
"0211.00","True","True","152","1"
"0212.00","True","True","152","1"
"0213.00","True","True","153","1"
"0214.00","True","True","154","1"
"0215.00","True","True","154","1"
"0311.00","True","True","156","1"
"0312.00","True","True","156","1"
"0313.00","True","True","157","1"
"0314.00","True","True","157","1"
"0315.00","True","True","158","1"
"1111.01","True","True","163","1"
"1111.02","True","True","165","1"
"1111.03","True","True","165","1"
"1111.04","True","True","166","1"
"1111.05","True","True","166","1"
"1111.99","True","True","167","1"
"1112.01","True","True","168","1"
"1112.02","True","True","168","1"
"1112.03","True","True","169","1"
"1112.04","True","True","169","1"
"1112.05","True","True","169","1"
"1112.06","True","True","170","1"
"1112.07","True","True","170","1"
"1112.99","True","True","170","1"
"1113.01","True","True","171","1"
"1113.02","True","True","171","1"
"1113.03","True","True","172","1"
"1113.04","True","True","172","1"
"1113.99","True","True","173","1"
"1114.00","True","True","173","1"
"1120.01","True","True","175","1"
"1120.02","True","True","176","1"
"1120.03","True","True","176","1"
"1120.04","True","True","177","1"
"1120.05","True","True","177","1"
"1120.99","True","True","177","1"
"1211.01","True","True","179","1"
"1211.02","True","True","180","1"
"1211.03","True","True","180","1"
"1211.99","True","True","181","1"
"1212.01","True","True","181","1"
"1212.02","True","True","182","1"
"1212.03","True","True","182","1"
"1212.04","True","True","183","1"
"1212.05","True","True","183","1"
"1212.99","True","True","183","1"
"1213.01","True","True","184","1"
"1213.02","True","True","184","1"
"1213.03","True","True","185","1"
"1213.04","True","True","185","1"
"1213.99","True","True","186","1"
"1219.01","True","True","186","1"
"1219.02","True","True","187","1"
"1219.03","True","True","187","1"
"1219.04","True","True","187","1"
"1219.05","True","True","188","1"
"1219.06","True","True","188","1"
"1219.99","True","True","189","1"
"1221.01","True","True","190","1"
"1221.02","True","True","190","1"
